	BioProject	BioSample	Body_Site	project	base_media	condition	growth_phase	isolate	reference_condition	skip	OD-600	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID	passed_replicate_correlations	genetic_changes	name	condition.1	treatment	strain_description	biosample_strain	biosample_genotype	reference_condition.1	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	Study_Pubmed_id	SampleType	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	dbgap_study_accession	Consent	RunHash	ReadHash	LibraryName-DUPLICATE_DELETE	Experiment-DUPLICATE_DELETE	swift
CM_7	CcpA CodY interaction			CcpA CodY interaction	CA-MHB	2g/Lglucose	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-03-UCDavis-NextSeq/PAL018_S18_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-03-UCDavis-NextSeq/PAL018_S18_R2_001.fastq.gz	True		CcpA CodY interaction:CA-MHB:2g/Lglucose:exp:JE2:ccpA::bursa	True	True		True											True	ccpA::bursa	NE1670																																			
CM_8	CcpA CodY interaction			CcpA CodY interaction	CA-MHB	2g/Lglucose	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-03-UCDavis-NextSeq/PAL019_S19_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-03-UCDavis-NextSeq/PAL019_S19_R2_001.fastq.gz	True		CcpA CodY interaction:CA-MHB:2g/Lglucose:exp:JE2:ccpA::bursa	True	True		True											True	ccpA::bursa	NE1670																																			
CM_9	CcpA CodY interaction			CcpA CodY interaction	CA-MHB	None	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-03-UCDavis-NextSeq/PAL020_S20_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-03-UCDavis-NextSeq/PAL020_S20_R2_001.fastq.gz	True		CcpA CodY interaction:CA-MHB:None:exp:JE2:marR_TF::bursa	True	True		True											True	marR_TF::bursa	NE1189																																			
SG_1	Sugar Effect			Sugar Effect	CDM	Control	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_without_Carbon_R1_S39_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_without_Carbon_R1_S39_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:Control:exp:JE2:WT	True	True		True											True	WT																																				
SG_2	Sugar Effect			Sugar Effect	CDM	Control	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_without_Carbon_R2_S40_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_without_Carbon_R2_S40_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:Control:exp:JE2:WT	True	True		True											True	WT																																				
SG_3	Sugar Effect			Sugar Effect	CDM	10g/Lglucose	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Glucose_R1_S41_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Glucose_R1_S41_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:10g/Lglucose:exp:JE2:WT	True	True		True											True	WT																																				
SG_4	Sugar Effect			Sugar Effect	CDM	10g/Lglucose	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Glucose_R2_S42_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Glucose_R2_S42_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:10g/Lglucose:exp:JE2:WT	True	True		True											True	WT																																				
SG_5	Sugar Effect			Sugar Effect	CDM	10g/Lfructose	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Fructose_R1_S45_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Fructose_R2_S46_L001_R1_001.fastq.gz	True		Sugar Effect:CDM:10g/Lfructose:exp:JE2:WT	True	True		True											True	WT																																				
SG_6	Sugar Effect			Sugar Effect	CDM	10g/Lfructose	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Fructose_R2_S46_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Fructose_R2_S46_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:10g/Lfructose:exp:JE2:WT	True	True		True											True	WT																																				
SG_7	Sugar Effect			Sugar Effect	CDM	2g/Lpyruvate	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Pyrubate_R1_S43_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Pyrubate_R1_S43_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:2g/Lpyruvate:exp:JE2:WT	True	True		True											True	WT																																				
SG_8	Sugar Effect			Sugar Effect	CDM	2g/Lpyruvate	exp	JE2	Control		0.4				PAIRED																				s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Pyrubate_R2_S44_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/JE2_CDM_with_Pyrubate_R2_S44_L001_R2_001.fastq.gz	True		Sugar Effect:CDM:2g/Lpyruvate:exp:JE2:WT	True	True		True											True	WT																																				
Cody_1	CodY regulon determination			codY iModulon	RPMI+10%LB	RPMI+10%LB;Mutant;exp;JE2;bursa::CodY	exp	JE2	Control						PAIRED																						True		codY iModulon:RPMI+10%LB:Mutant:Exponential:JE2:bursa::CodY															True	bursa::CodY			Mutant																																	
Cody_2	CodY regulon determination			codY iModulon	RPMI+10%LB	RPMI+10%LB;Mutant;exp;JE2;bursa::CodY	exp	JE2	Control						PAIRED																						True		codY iModulon:RPMI+10%LB:Mutant:Exponential:JE2:bursa::CodY															True	bursa::CodY			Mutant																																	
Cody_3	CodY regulon determination			codY iModulon	RPMI+10%LB	RPMI+10%LB;Control;exp;JE2;WT	exp	JE2	Control						PAIRED																				s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R1_S64_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R1_S64_L002_R2_001.fastq.gz	True		codY iModulon:RPMI+10%LB:Control:Exponential:JE2:WT	True	True		True		Control									True	WT			Control																																	
Cody_4	CodY regulon determination			codY iModulon	RPMI+10%LB	RPMI+10%LB;Control;exp;JE2;WT	exp	JE2	Control						PAIRED																				s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R2_S65_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R2_S65_L002_R2_001.fastq.gz	True		codY iModulon:RPMI+10%LB:Control:Exponential:JE2:WT	True	True		True		Control									True	WT			Control																																	
Metab_1	Metabolism			central metabolism	TSB	TSB;Control;exp;JE2;WT	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_37_R1_S64_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_37_R1_S64_L001_R2_001.fastq.gz	True	Control	central metabolism:TSB:Control:Exponential:JE2:WT	True	True		True			central-metab								True	WT			Control																																	
Metab_10	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;ccpA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_24_R2_S51_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_24_R2_S51_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670		Mutant																																	
Metab_11	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;ccpA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_31_GR1_S58_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_31_GR1_S58_L001_R2_001.fastq.gz	True	ccpA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670		2g/L glucose																																	
Metab_12	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;ccpA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_32_GR2_S59_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_32_GR2_S59_L001_R2_001.fastq.gz	True	ccpA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670		2g/L glucose																																	
Metab_13	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;codY::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_25_R1_S52_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_25_R1_S52_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555		Mutant																																	
Metab_14	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;codY::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_26_R2_S53_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_26_R2_S53_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555		Mutant																																	
Metab_15	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;codY::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_33_R1_S60_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_33_R1_S60_L001_R2_001.fastq.gz	True	codY-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555		2g/L glucose																																	
Metab_16	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;codY::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_34_R2_S61_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_34_R2_S61_L001_R2_001.fastq.gz	True	codY-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555		2g/L glucose																																	
Metab_17	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;ilvA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_27_R1_S54_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_27_R1_S54_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340		Mutant																																	
Metab_18	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;ilvA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_28_R2_S55_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_28_R2_S55_L002_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340		Mutant																																	
Metab_19	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;ilvA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_35_R1_S62_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_35_R1_S62_L001_R2_001.fastq.gz	True	ilvA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340		2g/L glucose																																	
Metab_2	Metabolism			central metabolism	TSB	TSB;Control;exp;JE2;WT	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_38_R2_S65_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_38_R2_S65_L001_R2_001.fastq.gz	True	Control	central metabolism:TSB:Control:Exponential:JE2:WT	True	True		True			central-metab								True	WT			Control																																	
Metab_20	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;ilvA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_36_R2_S63_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_36_R2_S63_L001_R2_001.fastq.gz	True	ilvA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340		2g/L glucose																																	
Metab_3	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;WT	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_39_R1_S66_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_39_R1_S66_L001_R2_001.fastq.gz	True	2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:WT	True	True		True			central-metab								True	WT			2g/L glucose																																	
Metab_4	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;WT	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_40_R2_S67_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_40_R2_S67_L001_R2_001.fastq.gz	True	2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:WT	True	True		True			central-metab								True	WT			2g/L glucose																																	
Metab_5	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;ilvd::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_21_R1_S48_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_21_R1_S48_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718		Mutant																																	
Metab_6	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;ilvd::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_22_R2_S49_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_22_R2_S49_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718		Mutant																																	
Metab_7	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;ilvd::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_29_GR1_S56_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_29_GR1_S56_L001_R2_001.fastq.gz	True	ilvD-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718		2g/L glucose																																	
Metab_8	Metabolism			central metabolism	TSB	TSB;2g/L glucose;exp;JE2;ilvd::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_30_GR2_S57_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_30_GR2_S57_L001_R2_001.fastq.gz	True	ilvD-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718		2g/L glucose																																	
Metab_9	Metabolism			central metabolism	TSB	TSB;Mutant;exp;JE2;ccpA::bursa	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_23_R1_S50_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_23_R1_S50_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670		Mutant																																	
ERX2284917	PRJEB23980	SAMEA104450491		3abx treatment	TSB	TSB;0.25 ug/mL Linezolid;exp;TCH1516;WT	exp	TCH1516	Control		0.8	BK's Data	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231575	ERP105769	ERS2068433	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0					3abx treatment:TSB:0.25 ug/mL Linezolid:Exponential:TCH1516:WT	True	True		True											True	WT			0.25 ug/mL Linezolid																																	
