# Metadata of the RNA sequencing data used to create the TRN model with ICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Metadata of the RNA sequencing data used to create the TRN model with ICA
,BioProject,BioSample,Body_Site,project,base_media,condition,growth_phase,isolate,reference_condition,skip,OD-600,NOTES,InsertDev,InsertSize,LibraryLayout,LibrarySelection,LibrarySource,LibraryStrategy,Manual Strain,Model,Platform,Project,ProjectID,ReleaseDate,Run,SRAStudy,Sample,ScientificName,Submission,TaxID,class_tax_id,species,species_tax_id,strain_tax_id,Swift,Treatment,full_name,passed_fastqc,passed_global_correlation,passed_number_replicates,passed_reads_mapped_to_CDS,passed_similar_replicates,condition_name,project_name,CenterName,Notes,SRA ID,GEO Series,GEO Sample,PMID,passed_replicate_correlations,genetic_changes,name,treatment,strain_description,Study_Pubmed_id,Previous ID (Changed SRR to SRX)
SRX17697375,PRJNA881834,SAMN30916716,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:tfox_TF::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,tfox_TF::bursa,NE1861,,,,SRR21699864
SRX17697376,PRJNA881834,SAMN30916719,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:ccpA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ccpA::bursa,NE1670,,,,SRR21699863
SRX17697377,PRJNA881834,SAMN30916719,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:ccpA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ccpA::bursa,NE1670,,,,SRR21699862
SRX17697378,PRJNA881834,SAMN30916713,,CcpA CodY interaction,CA-MHB,2g/Lglucose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:2g/Lglucose:exp:JE2:ccpA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ccpA::bursa,NE1670,,,,SRR21699861
SRX17697379,PRJNA881834,SAMN30916713,,CcpA CodY interaction,CA-MHB,2g/Lglucose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:2g/Lglucose:exp:JE2:ccpA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ccpA::bursa,NE1670,,,,SRR21699860
SRX17697374,PRJNA881834,SAMN30916717,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:marR_TF::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,marR_TF::bursa,NE1189,,,,SRR21699865
SRX23890457,PRJNA1086018 ,SAMN40354523,,Sugar Effect,CDM,Control,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:Control:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281135
SRX23890458,PRJNA1086018 ,SAMN40354523,,Sugar Effect,CDM,Control,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:Control:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281134
SRX23890454,PRJNA1086018 ,SAMN40354521,,Sugar Effect,CDM,10g/Lglucose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:10g/Lglucose:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281138
SRX23890453,PRJNA1086018 ,SAMN40354521,,Sugar Effect,CDM,10g/Lglucose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:10g/Lglucose:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281139
SRX23890451,PRJNA1086018 ,SAMN40354520,,Sugar Effect,CDM,10g/Lfructose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:10g/Lfructose:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281141
SRX23890452,PRJNA1086018 ,SAMN40354520,,Sugar Effect,CDM,10g/Lfructose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:10g/Lfructose:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281140
SRX23890456,PRJNA1086018 ,SAMN40354522,,Sugar Effect,CDM,2g/Lpyruvate,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:2g/Lpyruvate:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281136
SRX23890455,PRJNA1086018 ,SAMN40354522,,Sugar Effect,CDM,2g/Lpyruvate,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,Sugar Effect:CDM:2g/Lpyruvate:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR28281137
SRX9689987,PRJNA685741,SAMN17089244,,codY iModulon,RPMI+10%LB,RPMI+10%LB;Mutant;exp;JE2;bursa::CodY,exp,JE2,Control,,,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,codY iModulon:RPMI+10%LB:Mutant:Exponential:JE2:bursa::CodY,,,,,,,,,,,,,,TRUE,bursa::CodY,,Mutant,,,SRX9689987
SRX9689986,PRJNA685741,SAMN17089245,,codY iModulon,RPMI+10%LB,RPMI+10%LB;Mutant;exp;JE2;bursa::CodY,exp,JE2,Control,,,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,codY iModulon:RPMI+10%LB:Mutant:Exponential:JE2:bursa::CodY,,,,,,,,,,,,,,TRUE,bursa::CodY,,Mutant,,,SRX9689986
SRX9689984,PRJNA685741,SAMN17089247,,codY iModulon,RPMI+10%LB,RPMI+10%LB;Control;exp;JE2;WT,exp,JE2,Control,,,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,codY iModulon:RPMI+10%LB:Control:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,Control,,,,,,,,TRUE,WT,,Control,,,SRX9689984
SRX9689985,PRJNA685741,SAMN17089246,,codY iModulon,RPMI+10%LB,RPMI+10%LB;Control;exp;JE2;WT,exp,JE2,Control,,,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,codY iModulon:RPMI+10%LB:Control:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,Control,,,,,,,,TRUE,WT,,Control,,,SRX9689985
SRX17208824,PRJNA872284,SAMN30450520,,central metabolism,TSB,TSB;Control;exp;JE2;WT,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Control,central metabolism:TSB:Control:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,WT,,Control,,,SRR21197814
SRX17208813,PRJNA872284,SAMN30450517,,central metabolism,TSB,TSB;Mutant;exp;JE2;ccpA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:ccpA::bursa; NE1670,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ccpA::bursa, NE1670,Mutant,,,SRR21197825
SRX17208829,PRJNA872284,SAMN30450525,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;ccpA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,ccpA-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:ccpA::bursa; NE1670,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ccpA::bursa, NE1670,2g/L glucose,,,SRR21197809
SRX17208821,PRJNA872284,SAMN30450525,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;ccpA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,ccpA-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:ccpA::bursa; NE1670,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ccpA::bursa, NE1670,2g/L glucose,,,SRR21197817
SRX17208825,PRJNA872284,SAMN30450521,,central metabolism,TSB,TSB;Mutant;exp;JE2;codY::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:codY::bursa; NE1555,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,codY::bursa, NE1555,Mutant,,,SRR21197813
SRX17208817,PRJNA872284,SAMN30450521,,central metabolism,TSB,TSB;Mutant;exp;JE2;codY::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:codY::bursa; NE1555,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,codY::bursa, NE1555,Mutant,,,SRR21197821
SRX17208823,PRJNA872284,SAMN30450519,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;codY::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,codY-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:codY::bursa; NE1555,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,codY::bursa, NE1555,2g/L glucose,,,SRR21197815
SRX17208815,PRJNA872284,SAMN30450519,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;codY::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,codY-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:codY::bursa; NE1555,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,codY::bursa, NE1555,2g/L glucose,,,SRR21197823
SRX17208810,PRJNA872284,SAMN30450516,,central metabolism,TSB,TSB;Mutant;exp;JE2;ilvA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:ilvA::bursa; NE340,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvA::bursa, NE340,Mutant,,,SRR21197828
SRX17208812,PRJNA872284,SAMN30450516,,central metabolism,TSB,TSB;Mutant;exp;JE2;ilvA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:ilvA::bursa; NE340,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvA::bursa, NE340,Mutant,,,SRR21197826
SRX17208828,PRJNA872284,SAMN30450524,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;ilvA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,ilvA-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvA::bursa; NE340,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvA::bursa, NE340,2g/L glucose,,,SRR21197810
SRX17208816,PRJNA872284,SAMN30450520,,central metabolism,TSB,TSB;Control;exp;JE2;WT,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Control,central metabolism:TSB:Control:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,WT,,Control,,,SRR21197822
SRX17208820,PRJNA872284,SAMN30450524,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;ilvA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,ilvA-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvA::bursa; NE340,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvA::bursa, NE340,2g/L glucose,,,SRR21197818
SRX17208826,PRJNA872284,SAMN30450522,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;WT,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,WT,,2g/L glucose,,,SRR21197812
SRX17208818,PRJNA872284,SAMN30450522,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;WT,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,WT,,2g/L glucose,,,SRR21197820
SRX17208827,PRJNA872284,SAMN30450523,,central metabolism,TSB,TSB;Mutant;exp;JE2;ilvd::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:ilvd::bursa; NE718,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvd::bursa, NE718,Mutant,,,SRR21197811
SRX17208819,PRJNA872284,SAMN30450523,,central metabolism,TSB,TSB;Mutant;exp;JE2;ilvd::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:ilvd::bursa; NE718,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvd::bursa, NE718,Mutant,,,SRR21197819
SRX17208822,PRJNA872284,SAMN30450518,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;ilvd::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,ilvD-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvd::bursa; NE718,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvd::bursa, NE718,2g/L glucose,,,SRR21197816
SRX17208814,PRJNA872284,SAMN30450518,,central metabolism,TSB,TSB;2g/L glucose;exp;JE2;ilvd::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,ilvD-2gLGlucose,central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvd::bursa; NE718,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ilvd::bursa, NE718,2g/L glucose,,,SRR21197824
SRX17208811,PRJNA872284,SAMN30450517,,central metabolism,TSB,TSB;Mutant;exp;JE2;ccpA::bursa,exp,JE2,Control,,,,,,PAIRED,,,,,,ILLUMINA,,,,,,,,,,,Staphylococcus aureus,,,TRUE,Mutant,central metabolism:TSB:Mutant:Exponential:JE2:ccpA::bursa; NE1670,TRUE,TRUE,,TRUE,,,central-metab,,,,,,,TRUE,ccpA::bursa, NE1670,Mutant,,,SRR21197827
ERX2284917,PRJEB23980,SAMEA104450491,,3abx treatment,TSB,TSB;0.25 ug/mL Linezolid;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231575,ERP105769,ERS2068433,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:0.25 ug/mL Linezolid:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.25 ug/mL Linezolid,,,ERX2284917
ERX2284918,PRJEB23980,SAMEA104450492,,3abx treatment,TSB,TSB;0.25 ug/mL Linezolid;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231576,ERP105769,ERS2068434,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:0.25 ug/mL Linezolid:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.25 ug/mL Linezolid,,,ERX2284918
ERX2284921,PRJEB23980,SAMEA104450495,,3abx treatment,TSB,TSB;0.5 ug/mL Vancomycin;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231579,ERP105769,ERS2068437,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:0.5 ug/mL Vancomycin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.5 ug/mL Vancomycin,,,ERX2284921
ERX2284922,PRJEB23980,SAMEA104450496,,3abx treatment,TSB,TSB;0.5 ug/mL Vancomycin;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231580,ERP105769,ERS2068438,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:0.5 ug/mL Vancomycin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,0.5 ug/mL Vancomycin,,,ERX2284922
ERX2284919,PRJEB23980,SAMEA104450493,,3abx treatment,TSB,TSB;2.5 ug/mL Nafcillin;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231577,ERP105769,ERS2068435,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:2.5 ug/mL Nafcillin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,2.5 ug/mL Nafcillin,,,ERX2284919
ERX2284920,PRJEB23980,SAMEA104450494,,3abx treatment,TSB,TSB;2.5 ug/mL Nafcillin;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231578,ERP105769,ERS2068436,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:2.5 ug/mL Nafcillin:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,2.5 ug/mL Nafcillin,,,ERX2284920
ERX2284915,PRJEB23980,SAMEA104450489,,3abx treatment,TSB,TSB;Control;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231573,ERP105769,ERS2068431,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:Control:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,ERX2284915
ERX2284916,PRJEB23980,SAMEA104450490,,3abx treatment,TSB,TSB;Control;exp;TCH1516;WT,exp,TCH1516,Control,,0.8,BK's Data,0,300,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,USA300,Illumina MiSeq,ILLUMINA,,435090,2/5/2018 7:42,ERR2231574,ERP105769,ERS2068432,Staphylococcus aureus subsp. aureus USA300_TCH1516,ERA1168354,451516,91061,Staphylococcus aureus,1280,451516,,,3abx treatment:TSB:Control:Exponential:TCH1516:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,Control,,,ERX2284916
ERX5228512,PRJEB43496,SAMEA8227703,,H2O2 Treatment,TSB,TSB;20mM H2O2;exp;JE2;WT,exp,JE2,Control,,,,0,0,SINGLE,RANDOM,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,H2O2,714042,3/17/2021 19:06,ERR5443885,ERP127468,ERS5914274,Staphylococcus aureus,ERA3564958,1280,91061,Staphylococcus aureus,1280,1280,,,H2O2 Treatment:TSB:20mM H2O2:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,,,GENEVA UNIVERSITY HOSPITALS,,13673561,,,,TRUE,WT,,20mM H2O2,,,ERX5228512
ERX5228513,PRJEB43496,SAMEA8227704,,H2O2 Treatment,TSB,TSB;20mM H2O2;exp;JE2;WT,exp,JE2,Control,,,,0,0,SINGLE,RANDOM,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 4000,ILLUMINA,H2O2,714042,3/17/2021 19:06,ERR5443886,ERP127468,ERS5914275,Staphylococcus aureus,ERA3564958,1280,91061,Staphylococcus aureus,1280,1280,,,H2O2 Treatment:TSB:20mM H2O2:Exponential:JE2:WT,TRUE,TRUE,,TRUE,,,,GENEVA UNIVERSITY HOSPITALS,,13673562,,,,TRUE,WT,,20mM H2O2,,,ERX5228513
