,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
291,USA300HOU_RS00520,DQM91_RS00270,100.0,256,0,0,1,256,1,256,0.0,517.0,256,1.0,<=>
302,USA300HOU_RS00525,DQM91_RS00275,100.0,256,0,0,1,256,1,256,0.0,509.0,256,1.0,<=>
313,USA300HOU_RS00530,DQM91_RS00280,100.0,255,0,0,1,255,1,255,0.0,513.0,255,1.0,<=>
324,USA300HOU_RS00535,DQM91_RS00285,100.0,732,0,0,1,732,14,745,0.0,1511.0,732,1.0,<=>
330,USA300HOU_RS00540,DQM91_RS00290,100.0,392,0,0,1,392,1,392,0.0,806.0,392,1.0,<=>
335,USA300HOU_RS00545,DQM91_RS00295,99.784,462,1,0,1,462,1,462,0.0,904.0,462,1.0,<=>
348,USA300HOU_RS00550,DQM91_RS00300,100.0,553,0,0,1,553,1,553,0.0,1111.0,553,1.0,<=>
349,USA300HOU_RS00555,DQM91_RS00305,100.0,591,0,0,1,591,1,591,0.0,1233.0,591,1.0,<=>
350,USA300HOU_RS00560,DQM91_RS00310,99.31,290,2,0,1,290,1,290,0.0,557.0,290,1.0,<=>
352,USA300HOU_RS00565,DQM91_RS00315,100.0,465,0,0,1,465,1,465,0.0,944.0,465,1.0,<=>
361,USA300HOU_RS00570,DQM91_RS00320,100.0,157,0,0,1,157,1,157,6.55e-116,321.0,157,1.0,<=>
362,USA300HOU_RS00575,DQM91_RS00325,100.0,530,0,0,1,530,1,530,0.0,1027.0,530,1.0,<=>
364,USA300HOU_RS00580,DQM91_RS00330,95.349,516,0,1,1,492,1,516,0.0,956.0,492,1.048780487804878,<=>
372,USA300HOU_RS00585,DQM91_RS00340,100.0,250,0,0,1,250,1,250,0.0,502.0,250,1.0,<=>
380,USA300HOU_RS00590,DQM91_RS00345,100.0,332,0,0,1,332,1,332,0.0,642.0,332,1.0,<=>
389,USA300HOU_RS00595,DQM91_RS00350,100.0,331,0,0,1,331,1,331,0.0,639.0,331,1.0,<=>
398,USA300HOU_RS00600,DQM91_RS00355,100.0,330,0,0,1,330,1,330,0.0,663.0,330,1.0,<=>
406,USA300HOU_RS00605,DQM91_RS00360,100.0,326,0,0,1,326,1,326,0.0,671.0,326,1.0,<=>
410,USA300HOU_RS00610,DQM91_RS00365,100.0,336,0,0,1,336,1,336,0.0,701.0,336,1.0,<=>
411,USA300HOU_RS00615,DQM91_RS00370,100.0,584,0,0,1,584,1,584,0.0,1214.0,584,1.0,<=>
416,USA300HOU_RS00620,DQM91_RS00375,100.0,418,0,0,1,418,1,418,0.0,837.0,418,1.0,<=>
422,USA300HOU_RS00625,DQM91_RS00380,100.0,578,0,0,1,578,1,578,0.0,1205.0,578,1.0,<=>
427,USA300HOU_RS00630,DQM91_RS00385,100.0,616,0,0,1,616,1,616,0.0,1275.0,616,1.0,<=>
432,USA300HOU_RS00635,DQM91_RS00390,100.0,258,0,0,1,258,1,258,0.0,525.0,258,1.0,<=>
433,USA300HOU_RS00640,DQM91_RS00395,100.0,400,0,0,1,400,1,400,0.0,835.0,400,1.0,<=>
435,USA300HOU_RS00645,DQM91_RS00400,100.0,254,0,0,1,254,1,254,0.0,533.0,254,1.0,<=>
436,USA300HOU_RS00655,DQM91_RS00410,100.0,135,0,0,1,135,1,135,7.43e-94,263.0,135,1.0,<=>
439,USA300HOU_RS00660,DQM91_RS00415,100.0,208,0,0,1,208,1,208,6.29e-153,419.0,208,1.0,<=>
441,USA300HOU_RS00665,DQM91_RS00420,100.0,258,0,0,1,258,1,258,0.0,523.0,258,1.0,<=>
447,USA300HOU_RS00670,DQM91_RS00425,100.0,40,0,0,1,40,1,40,1.0199999999999999e-23,79.3,40,1.0,<=>
448,USA300HOU_RS00675,DQM91_RS00430,100.0,326,0,0,1,326,1,326,0.0,665.0,326,1.0,<=>
453,USA300HOU_RS00680,DQM91_RS00435,100.0,230,0,0,1,230,1,230,8.230000000000001e-173,471.0,230,1.0,<=>
455,USA300HOU_RS00685,DQM91_RS00440,99.742,388,1,0,1,388,1,388,0.0,796.0,388,1.0,<=>
460,USA300HOU_RS00690,DQM91_RS00445,100.0,412,0,0,1,412,1,412,0.0,813.0,412,1.0,<=>
461,USA300HOU_RS00695,DQM91_RS00450,100.0,476,0,0,1,476,1,476,0.0,940.0,476,1.0,<=>
464,USA300HOU_RS00700,DQM91_RS00455,100.0,199,0,0,1,199,1,199,7.27e-152,415.0,199,1.0,<=>
466,USA300HOU_RS00705,DQM91_RS00460,87.755,196,22,1,1,194,1,196,6.67e-123,344.0,241,0.8132780082987552,<=>
468,USA300HOU_RS00710,DQM91_RS00465,100.0,251,0,0,1,251,1,251,0.0,530.0,251,1.0,<=>
473,USA300HOU_RS00720,DQM91_RS00475,100.0,235,0,0,1,235,1,235,1.7399999999999999e-180,490.0,235,1.0,<=>
476,USA300HOU_RS00725,DQM91_RS00480,100.0,450,0,0,1,450,1,450,0.0,875.0,450,1.0,<=>
485,USA300HOU_RS00730,DQM91_RS00485,99.545,220,1,0,1,220,1,220,3.8e-161,440.0,220,1.0,<=>
487,USA300HOU_RS00735,DQM91_RS00490,100.0,392,0,0,1,392,1,392,0.0,806.0,392,1.0,<=>
489,USA300HOU_RS00740,DQM91_RS00495,100.0,271,0,0,1,271,1,271,0.0,525.0,271,1.0,<=>
495,USA300HOU_RS00745,DQM91_RS00500,100.0,266,0,0,1,266,1,266,0.0,526.0,266,1.0,<=>
502,USA300HOU_RS00750,DQM91_RS00505,100.0,257,0,0,1,257,1,257,0.0,523.0,257,1.0,<=>
563,USA300HOU_RS00755,DQM91_RS00510,100.0,318,0,0,1,318,1,318,0.0,641.0,318,1.0,<=>
565,USA300HOU_RS00760,DQM91_RS00515,100.0,514,0,0,1,514,1,514,0.0,1056.0,514,1.0,<=>
566,USA300HOU_RS00765,DQM91_RS00520,100.0,511,0,0,1,511,1,511,0.0,1066.0,511,1.0,<=>
569,USA300HOU_RS00785,DQM91_RS00540,100.0,88,0,0,1,88,1,88,1.44e-56,166.0,108,0.8148148148148148,<=>
573,USA300HOU_RS00795,DQM91_RS00550,100.0,869,0,0,1,869,1,869,0.0,1793.0,869,1.0,<=>
577,USA300HOU_RS00800,DQM91_RS00555,100.0,222,0,0,1,222,1,222,3.64e-159,436.0,222,1.0,<=>
579,USA300HOU_RS00805,DQM91_RS00560,100.0,228,0,0,1,228,1,228,1.08e-168,460.0,228,1.0,<=>
581,USA300HOU_RS00810,DQM91_RS00565,100.0,254,0,0,1,254,1,254,0.0,525.0,254,1.0,<=>
583,USA300HOU_RS00820,DQM91_RS00575,99.415,342,2,0,1,342,1,342,0.0,702.0,342,1.0,<=>
586,USA300HOU_RS00825,DQM91_RS00580,100.0,369,0,0,1,369,1,369,0.0,761.0,369,1.0,<=>
588,USA300HOU_RS00835,DQM91_RS00590,100.0,208,0,0,1,208,1,208,9.83e-155,423.0,208,1.0,<=>
591,USA300HOU_RS00840,DQM91_RS00595,100.0,369,0,0,1,369,1,369,0.0,743.0,369,1.0,<=>
592,USA300HOU_RS00845,DQM91_RS00600,100.0,388,0,0,1,388,1,388,0.0,757.0,388,1.0,<=>
593,USA300HOU_RS00850,DQM91_RS00605,100.0,401,0,0,1,401,1,401,0.0,771.0,401,1.0,<=>
594,USA300HOU_RS00855,DQM91_RS00610,100.0,401,0,0,1,401,1,401,0.0,832.0,401,1.0,<=>
595,USA300HOU_RS00860,DQM91_RS00615,100.0,185,0,0,1,185,1,185,1.92e-137,377.0,185,1.0,<=>
597,USA300HOU_RS00865,DQM91_RS00620,100.0,295,0,0,1,295,1,295,0.0,614.0,295,1.0,<=>
600,USA300HOU_RS00870,DQM91_RS00625,100.0,420,0,0,1,420,1,420,0.0,859.0,420,1.0,<=>
601,USA300HOU_RS00875,DQM91_RS00630,99.738,381,1,0,1,381,1,381,0.0,783.0,381,1.0,<=>
604,USA300HOU_RS00880,DQM91_RS00635,100.0,108,0,0,1,108,1,108,2.7600000000000004e-79,224.0,108,1.0,<=>
607,USA300HOU_RS00885,DQM91_RS00640,100.0,127,0,0,1,127,1,127,3.0999999999999997e-90,253.0,127,1.0,<=>
608,USA300HOU_RS00890,DQM91_RS00645,100.0,495,0,0,1,495,1,495,0.0,1013.0,495,1.0,<=>
614,USA300HOU_RS00895,DQM91_RS00650,100.0,319,0,0,1,319,1,319,0.0,640.0,319,1.0,<=>
617,USA300HOU_RS00900,DQM91_RS00655,100.0,67,0,0,1,67,1,67,1.86e-44,133.0,67,1.0,<=>
618,USA300HOU_RS00905,DQM91_RS00660,100.0,170,0,0,1,170,1,170,9.39e-127,349.0,170,1.0,<=>
619,USA300HOU_RS00910,DQM91_RS00665,99.593,246,1,0,1,246,1,246,0.0,503.0,246,1.0,<=>
682,USA300HOU_RS00915,DQM91_RS00670,100.0,324,0,0,1,324,1,324,0.0,679.0,324,1.0,<=>
683,USA300HOU_RS00920,DQM91_RS00675,100.0,253,0,0,1,253,1,253,7.2899999999999995e-180,490.0,253,1.0,<=>
687,USA300HOU_RS00930,DQM91_RS00685,100.0,119,0,0,1,119,1,119,4.63e-87,245.0,119,1.0,<=>
689,USA300HOU_RS00935,DQM91_RS00690,100.0,341,0,0,1,341,1,341,0.0,705.0,341,1.0,<=>
696,USA300HOU_RS00940,DQM91_RS00695,100.0,416,0,0,1,416,1,416,0.0,822.0,416,1.0,<=>
698,USA300HOU_RS00945,DQM91_RS00700,99.958,2391,1,0,1,2391,1,2391,0.0,4983.0,2391,1.0,<=>
711,USA300HOU_RS00950,DQM91_RS00705,100.0,214,0,0,1,214,1,214,1.7300000000000003e-163,446.0,214,1.0,<=>
712,USA300HOU_RS00955,DQM91_RS00710,100.0,159,0,0,1,159,1,159,2.13e-117,325.0,159,1.0,<=>
713,USA300HOU_RS00960,DQM91_RS00715,100.0,254,0,0,1,254,1,254,0.0,513.0,254,1.0,<=>
714,USA300HOU_RS00965,DQM91_RS00720,100.0,413,0,0,1,413,1,413,0.0,856.0,413,1.0,<=>
715,USA300HOU_RS00970,DQM91_RS00725,100.0,343,0,0,1,343,1,343,0.0,706.0,343,1.0,<=>
716,USA300HOU_RS00975,DQM91_RS00730,100.0,394,0,0,1,394,1,394,0.0,808.0,394,1.0,<=>
722,USA300HOU_RS00980,DQM91_RS00735,100.0,451,0,0,1,451,1,451,0.0,880.0,451,1.0,<=>
725,USA300HOU_RS00985,DQM91_RS00740,99.459,185,1,0,1,185,1,185,4.95e-136,374.0,185,1.0,<=>
728,USA300HOU_RS00990,DQM91_RS00745,100.0,546,0,0,1,546,1,546,0.0,1122.0,546,1.0,<=>
732,USA300HOU_RS00995,DQM91_RS00750,100.0,33,0,0,1,33,1,33,1.62e-19,68.2,33,1.0,<=>
733,USA300HOU_RS01000,DQM91_RS00755,100.0,681,0,0,1,681,1,681,0.0,1378.0,681,1.0,<=>
743,USA300HOU_RS01005,DQM91_RS00760,99.711,346,1,0,1,346,6,351,0.0,719.0,346,1.0,<=>
744,USA300HOU_RS01010,DQM91_RS00765,100.0,298,0,0,1,298,1,298,0.0,607.0,298,1.0,<=>
746,USA300HOU_RS01015,DQM91_RS00770,100.0,484,0,0,1,484,1,484,0.0,961.0,484,1.0,<=>
754,USA300HOU_RS01020,DQM91_RS00775,100.0,291,0,0,1,291,1,291,0.0,598.0,291,1.0,<=>
758,USA300HOU_RS01025,DQM91_RS00780,100.0,93,0,0,1,93,1,93,4.66e-62,179.0,93,1.0,<=>
759,USA300HOU_RS01030,DQM91_RS00785,100.0,929,0,0,1,929,1,929,0.0,1916.0,929,1.0,<=>
760,USA300HOU_RS01035,DQM91_RS00790,100.0,280,0,0,1,280,1,280,0.0,564.0,280,1.0,<=>
761,USA300HOU_RS01040,DQM91_RS00795,100.0,307,0,0,1,307,1,307,0.0,632.0,307,1.0,<=>
762,USA300HOU_RS01045,DQM91_RS00800,99.73,370,1,0,1,370,1,370,0.0,748.0,370,1.0,<=>
763,USA300HOU_RS01050,DQM91_RS00805,100.0,530,0,0,1,530,1,530,0.0,1080.0,530,1.0,<=>
878,USA300HOU_RS01055,DQM91_RS00810,100.0,492,0,0,1,492,1,492,0.0,987.0,492,1.0,<=>
885,USA300HOU_RS01060,DQM91_RS00815,100.0,387,0,0,1,387,1,387,0.0,769.0,387,1.0,<=>
891,USA300HOU_RS01065,DQM91_RS00820,100.0,591,0,0,1,591,1,591,0.0,1212.0,591,1.0,<=>
892,USA300HOU_RS01070,DQM91_RS00825,99.85,668,1,0,1,668,1,668,0.0,1380.0,668,1.0,<=>
893,USA300HOU_RS01075,DQM91_RS00830,99.611,257,1,0,1,257,1,257,0.0,520.0,257,1.0,<=>
904,USA300HOU_RS01080,DQM91_RS00835,100.0,208,0,0,1,208,1,208,6.81e-158,431.0,208,1.0,<=>
905,USA300HOU_RS01085,DQM91_RS00840,100.0,192,0,0,1,192,1,192,1.0900000000000001e-144,396.0,192,1.0,<=>
910,USA300HOU_RS01090,DQM91_RS00845,100.0,365,0,0,1,365,1,365,0.0,754.0,365,1.0,<=>
973,USA300HOU_RS01095,DQM91_RS00850,100.0,423,0,0,1,423,1,423,0.0,871.0,423,1.0,<=>
974,USA300HOU_RS01100,DQM91_RS00855,100.0,422,0,0,1,422,1,422,0.0,834.0,422,1.0,<=>
975,USA300HOU_RS01105,DQM91_RS00860,100.0,279,0,0,1,279,1,279,0.0,550.0,279,1.0,<=>
976,USA300HOU_RS01110,DQM91_RS00865,100.0,358,0,0,1,358,1,358,0.0,743.0,358,1.0,<=>
978,USA300HOU_RS01115,DQM91_RS00870,100.0,346,0,0,1,346,1,346,0.0,722.0,346,1.0,<=>
980,USA300HOU_RS01120,DQM91_RS00875,100.0,322,0,0,1,322,1,322,0.0,672.0,322,1.0,<=>
981,USA300HOU_RS01125,DQM91_RS00880,100.0,164,0,0,27,190,1,164,2.53e-116,323.0,190,0.8631578947368421,<=>
982,USA300HOU_RS01130,DQM91_RS00885,100.0,459,0,0,1,459,1,459,0.0,915.0,459,1.0,<=>
985,USA300HOU_RS01135,DQM91_RS00890,100.0,252,0,0,1,252,1,252,0.0,518.0,252,1.0,<=>
997,USA300HOU_RS01140,DQM91_RS00895,100.0,518,0,0,1,518,1,518,0.0,1065.0,518,1.0,<=>
999,USA300HOU_RS01145,DQM91_RS00900,100.0,322,0,0,1,322,1,322,0.0,666.0,322,1.0,<=>
1000,USA300HOU_RS01150,DQM91_RS00905,100.0,749,0,0,1,749,1,749,0.0,1570.0,749,1.0,<=>
1001,USA300HOU_RS01155,DQM91_RS00910,100.0,251,0,0,1,251,1,251,0.0,520.0,251,1.0,<=>
1003,USA300HOU_RS01165,DQM91_RS00920,100.0,587,0,0,1,587,1,587,0.0,1187.0,587,1.0,<=>
1005,USA300HOU_RS01170,DQM91_RS00925,100.0,114,0,0,1,114,1,114,1.04e-80,228.0,114,1.0,<=>
1008,USA300HOU_RS01175,DQM91_RS00930,95.755,636,0,1,1,609,1,636,0.0,1229.0,609,1.0443349753694582,<=>
1012,USA300HOU_RS01180,DQM91_RS00935,100.0,35,0,0,1,35,1,35,2.77e-19,67.8,35,1.0,<=>
1013,USA300HOU_RS01190,DQM91_RS00940,99.746,394,1,0,1,394,1,394,0.0,799.0,394,1.0,<=>
1016,USA300HOU_RS01195,DQM91_RS00945,100.0,753,0,0,1,753,1,753,0.0,1543.0,753,1.0,<=>
1017,USA300HOU_RS01200,DQM91_RS00950,100.0,403,0,0,1,403,1,403,0.0,838.0,403,1.0,<=>
1018,USA300HOU_RS01205,DQM91_RS00955,100.0,501,0,0,1,501,1,501,0.0,1041.0,501,1.0,<=>
1026,USA300HOU_RS01210,DQM91_RS00960,100.0,525,0,0,1,525,1,525,0.0,1086.0,525,1.0,<=>
1027,USA300HOU_RS01215,DQM91_RS00965,100.0,380,0,0,1,380,1,380,0.0,756.0,380,1.0,<=>
1028,USA300HOU_RS01220,DQM91_RS00970,100.0,470,0,0,1,470,22,491,0.0,955.0,470,1.0,<=>
1032,USA300HOU_RS01225,DQM91_RS00975,100.0,118,0,0,1,118,1,118,4.4e-86,242.0,118,1.0,<=>
1033,USA300HOU_RS01230,DQM91_RS00985,100.0,57,0,0,1,57,1,57,3.75e-35,109.0,57,1.0,<=>
1035,USA300HOU_RS01235,DQM91_RS00990,100.0,381,0,0,1,381,1,381,0.0,790.0,381,1.0,<=>
1036,USA300HOU_RS01240,DQM91_RS00995,100.0,35,0,0,1,35,1,35,6.750000000000001e-21,71.6,35,1.0,<=>
1037,USA300HOU_RS01245,DQM91_RS01000,100.0,317,0,0,1,317,1,317,0.0,647.0,317,1.0,<=>
1039,USA300HOU_RS01255,DQM91_RS01010,100.0,509,0,0,1,509,1,509,0.0,1017.0,509,1.0,<=>
1047,USA300HOU_RS01260,DQM91_RS01015,100.0,311,0,0,1,311,1,311,0.0,639.0,311,1.0,<=>
1049,USA300HOU_RS01265,DQM91_RS01020,100.0,32,0,0,1,32,1,32,2.98e-17,62.4,32,1.0,<=>
1050,USA300HOU_RS01270,DQM91_RS01025,100.0,698,0,0,1,698,1,698,0.0,1437.0,698,1.0,<=>
1056,USA300HOU_RS01275,DQM91_RS01030,100.0,155,0,0,1,155,1,155,8.86e-114,315.0,155,1.0,<=>
1058,USA300HOU_RS01280,DQM91_RS01035,100.0,92,0,0,1,92,1,92,2.49e-64,185.0,92,1.0,<=>
1059,USA300HOU_RS01285,DQM91_RS01040,100.0,419,0,0,1,419,1,419,0.0,826.0,419,1.0,<=>
1060,USA300HOU_RS01290,DQM91_RS01045,99.43,351,2,0,1,351,1,351,0.0,717.0,351,1.0,<=>
1065,USA300HOU_RS01295,DQM91_RS01050,100.0,48,0,0,1,48,1,48,1.7900000000000002e-31,99.4,48,1.0,<=>
1066,USA300HOU_RS01300,DQM91_RS01055,100.0,347,0,0,1,347,1,347,0.0,717.0,347,1.0,<=>
1072,USA300HOU_RS01305,DQM91_RS01060,100.0,238,0,0,1,238,1,238,4.02e-177,482.0,238,1.0,<=>
1074,USA300HOU_RS01310,DQM91_RS01065,100.0,341,0,0,1,341,1,341,0.0,705.0,341,1.0,<=>
1078,USA300HOU_RS01315,DQM91_RS01070,100.0,513,0,0,1,513,52,564,0.0,1057.0,513,1.0,<=>
1082,USA300HOU_RS01320,DQM91_RS01075,100.0,389,0,0,1,389,1,389,0.0,809.0,389,1.0,<=>
1087,USA300HOU_RS01325,DQM91_RS01080,100.0,238,0,0,1,238,1,238,6.51e-178,484.0,238,1.0,<=>
1089,USA300HOU_RS01330,DQM91_RS01085,100.0,341,0,0,1,341,1,341,0.0,699.0,341,1.0,<=>
1094,USA300HOU_RS01335,DQM91_RS01090,100.0,562,0,0,1,562,1,562,0.0,1149.0,562,1.0,<=>
1099,USA300HOU_RS01340,DQM91_RS01095,100.0,574,0,0,1,574,1,574,0.0,1182.0,574,1.0,<=>
1103,USA300HOU_RS01345,DQM91_RS01100,100.0,224,0,0,1,224,1,224,1.1300000000000001e-169,462.0,224,1.0,<=>
1104,USA300HOU_RS01350,DQM91_RS01105,100.0,579,0,0,1,579,6,584,0.0,1189.0,579,1.0,<=>
1106,USA300HOU_RS01355,DQM91_RS01110,100.0,246,0,0,1,246,1,246,0.0,505.0,246,1.0,<=>
1118,USA300HOU_RS01360,DQM91_RS01115,100.0,147,0,0,1,147,1,147,7.210000000000001e-103,287.0,147,1.0,<=>
1119,USA300HOU_RS01365,DQM91_RS01120,100.0,233,0,0,1,233,1,233,3.43e-165,452.0,233,1.0,<=>
1121,USA300HOU_RS01370,DQM91_RS01125,100.0,234,0,0,1,234,1,234,6.49e-178,484.0,234,1.0,<=>
1127,USA300HOU_RS01375,DQM91_RS01135,99.62,263,1,0,1,263,1,263,0.0,531.0,263,1.0,<=>
1131,USA300HOU_RS01380,DQM91_RS01140,100.0,478,0,0,1,478,1,478,0.0,994.0,478,1.0,<=>
1133,USA300HOU_RS01390,DQM91_RS01150,100.0,253,0,0,1,253,1,253,0.0,530.0,253,1.0,<=>
1135,USA300HOU_RS01395,DQM91_RS01155,100.0,44,0,0,1,44,1,44,1.81e-26,86.7,44,1.0,<=>
1136,USA300HOU_RS01400,DQM91_RS01160,100.0,304,0,0,1,304,1,304,0.0,610.0,304,1.0,<=>
1139,USA300HOU_RS01405,DQM91_RS01165,99.254,134,1,0,1,134,1,134,9.31e-97,270.0,134,1.0,<=>
1140,USA300HOU_RS01410,DQM91_RS01170,99.317,293,2,0,1,293,1,293,0.0,566.0,293,1.0,<=>
1142,USA300HOU_RS01415,DQM91_RS01175,100.0,332,0,0,1,332,1,332,0.0,676.0,332,1.0,<=>
1146,USA300HOU_RS15000,DQM91_RS01180,100.0,59,0,0,1,59,1,59,5.109999999999999e-38,116.0,59,1.0,<=>
1147,USA300HOU_RS01425,DQM91_RS01185,100.0,130,0,0,1,130,1,130,2.56e-94,264.0,130,1.0,<=>
1148,USA300HOU_RS01435,DQM91_RS01195,99.782,458,1,0,1,458,1,458,0.0,892.0,458,1.0,<=>
1159,USA300HOU_RS01440,DQM91_RS01200,99.697,330,1,0,1,330,1,330,0.0,682.0,330,1.0,<=>
1160,USA300HOU_RS01445,DQM91_RS01205,100.0,316,0,0,1,316,1,316,0.0,640.0,316,1.0,<=>
1166,USA300HOU_RS01450,DQM91_RS01210,100.0,219,0,0,1,219,1,219,6.73e-166,452.0,219,1.0,<=>
1231,USA300HOU_RS01455,DQM91_RS01215,100.0,306,0,0,1,306,1,306,0.0,607.0,306,1.0,<=>
1232,USA300HOU_RS01460,DQM91_RS01220,100.0,388,0,0,1,388,1,388,0.0,775.0,388,1.0,<=>
1233,USA300HOU_RS01465,DQM91_RS01225,100.0,507,0,0,1,507,1,507,0.0,997.0,507,1.0,<=>
1234,USA300HOU_RS01470,DQM91_RS01230,100.0,217,0,0,1,217,1,217,1.0200000000000001e-154,424.0,217,1.0,<=>
1235,USA300HOU_RS01475,DQM91_RS01235,100.0,195,0,0,1,195,1,195,5.86e-138,380.0,195,1.0,<=>
1237,USA300HOU_RS01480,DQM91_RS01240,100.0,297,0,0,1,297,1,297,0.0,615.0,297,1.0,<=>
